model	truth	roc	roc_95CI_L	roc_95CI_H	n	n_case	remarks
F2_vs_F3	F2_vs_F3	0.881026750685064	0.867357761336394	0.894695740033733	2411	1563	NA
F2_vs_F3	F9_vs_F10	0.734152448858331	0.699298712260344	0.769006185456318	919	765	NA
F2_vs_F3	F11_vs_F17	0.584249771943379	0.560203767504228	0.608295776382531	2302	1431	NA
F2_vs_F3	F11_vs_F21	0.607370003268525	0.590505182427118	0.624234824109932	5459	1431	NA
F2_vs_F3	F11_F17_vs_F21	0.574338449273849	0.559697790018288	0.588979108529411	6330	2302	NA
F2_vs_F3	F17_vs_F21	0.520069616017385	0.498482022231927	0.541657209802842	4899	871	NA
F2_vs_F3	F1_vs_F34	0.587554567053683	0.571770729431461	0.603338404675905	5223	2411	NA
F9_vs_F10	F2_vs_F3	0.620608575067299	0.59833838365118	0.642878766483418	2411	1563	NA
F9_vs_F10	F9_vs_F10	0.823945335710042	0.789759225653115	0.858131445766968	919	765	NA
F9_vs_F10	F11_vs_F17	0.526498695042767	0.502766049572272	0.550231340513262	2302	1431	NA
F9_vs_F10	F11_vs_F21	0.773389557513895	0.759502853281815	0.787276261745975	5459	1431	NA
F9_vs_F10	F11_F17_vs_F21	0.768591083096	0.756712016002804	0.780470150189195	6330	2302	NA
F9_vs_F10	F17_vs_F21	0.760707481612638	0.743664090499882	0.777750872725394	4899	871	NA
F9_vs_F10	F1_vs_F34	0.756037849283718	0.743033100618843	0.769042597948593	5223	2411	NA
F11_vs_F17	F2_vs_F3	0.766137100278854	0.746042438078827	0.786231762478881	2411	1563	NA
F11_vs_F17	F9_vs_F10	0.601010101010101	0.554683964937845	0.647336237082357	919	765	NA
F11_vs_F17	F11_vs_F17	0.643379618597867	0.620259472087567	0.666499765108167	2302	1431	NA
F11_vs_F17	F11_vs_F21	0.627477416990917	0.609912217323531	0.645042616658302	5459	1431	NA
F11_vs_F17	F11_F17_vs_F21	0.56569090217306	0.550473461551926	0.580908342794193	6330	2302	NA
F11_vs_F17	F17_vs_F21	0.464179418011919	0.441116768321613	0.487242067702225	4899	871	NA
F11_vs_F17	F1_vs_F34	0.520162375149932	0.504235680671955	0.53608906962791	5223	2411	NA
F11_vs_F21	F2_vs_F3	0.645346319366482	0.623289830866017	0.667402807866947	2411	1563	NA
F11_vs_F21	F9_vs_F10	0.848255665902725	0.819240975468297	0.877270356337152	919	765	NA
F11_vs_F21	F11_vs_F17	0.548918445989694	0.525084223699913	0.572752668279474	2302	1431	NA
F11_vs_F21	F11_vs_F21	0.818760378954586	0.806291921943744	0.831228835965427	5459	1431	NA
F11_vs_F21	F11_F17_vs_F21	0.811582659437802	0.800870479632424	0.822294839243179	6330	2302	NA
F11_vs_F21	F17_vs_F21	0.799790103033074	0.784677615981401	0.814902590084746	4899	871	NA
F11_vs_F21	F1_vs_F34	0.782826518806348	0.770558265800152	0.795094771812544	5223	2411	NA
F11_F17_vs_F21	F2_vs_F3	0.602188809015077	0.579527729430352	0.624849888599803	2411	1563	NA
F11_F17_vs_F21	F9_vs_F10	0.849719887955182	0.820357597458644	0.87908217845172	919	765	NA
F11_F17_vs_F21	F11_vs_F17	0.519904107907487	0.495894751788521	0.543913464026453	2302	1431	NA
F11_F17_vs_F21	F11_vs_F21	0.815241249756249	0.802651355846242	0.827831143666255	5459	1431	NA
F11_F17_vs_F21	F11_F17_vs_F21	0.814308959783686	0.803649825600077	0.824968093967296	6330	2302	NA
F11_F17_vs_F21	F17_vs_F21	0.812777264088237	0.798015101474206	0.827539426702267	4899	871	NA
F11_F17_vs_F21	F1_vs_F34	0.792287512249747	0.780240139965636	0.804334884533857	5223	2411	NA
F17_vs_F21	F2_vs_F3	0.539917037868637	0.516520943239461	0.563313132497813	2411	1563	NA
F17_vs_F21	F9_vs_F10	0.847041847041847	0.817028481355943	0.877055212727751	919	765	NA
F17_vs_F21	F11_vs_F17	0.483671787811467	0.459456678816828	0.507886896806105	2302	1431	NA
F17_vs_F21	F11_vs_F21	0.799003845894948	0.785834970909228	0.812172720880667	5459	1431	NA
F17_vs_F21	F11_F17_vs_F21	0.804623661735359	0.79361817641927	0.815629147051448	6330	2302	NA
F17_vs_F21	F17_vs_F21	0.813856677197619	0.798665148026912	0.829048206368326	4899	871	NA
F17_vs_F21	F1_vs_F34	0.794317754743108	0.782317740520964	0.806317768965251	5223	2411	NA
F1_vs_F34	F2_vs_F3	0.473493010538514	0.44983435078623	0.497151670290799	2411	1563	NA
F1_vs_F34	F9_vs_F10	0.802342755283932	0.767854989661158	0.836830520906706	919	765	NA
F1_vs_F34	F11_vs_F17	0.481073907995902	0.456832746077841	0.505315069913962	2302	1431	NA
F1_vs_F34	F11_vs_F21	0.74348906015682	0.728682649386809	0.758295470926831	5459	1431	NA
F1_vs_F34	F11_F17_vs_F21	0.749529089164726	0.737126514887185	0.761931663442267	6330	2302	NA
F1_vs_F34	F17_vs_F21	0.759452489291378	0.741915809868679	0.776989168714078	4899	871	NA
F1_vs_F34	F1_vs_F34	0.815665722479886	0.804258319774878	0.827073125184894	5223	2411	NA
